dis,time,cnt
松山區,00~02,1
松山區,02~04,3
松山區,04~06,5
松山區,06~08,2
松山區,08~10,3
松山區,10~12,2
松山區,12~14,1
松山區,14~16,2
松山區,16~18,3
松山區,18~20,2
松山區,20~22,1
松山區,22~24,3
信義區,00~02,6
信義區,02~04,0
信義區,04~06,1
信義區,06~08,2
信義區,08~10,1
信義區,10~12,2
信義區,12~14,2
信義區,14~16,4
信義區,16~18,4
信義區,18~20,1
信義區,20~22,0
信義區,22~24,4
大安區,00~02,3
大安區,02~04,4
大安區,04~06,2
大安區,06~08,0
大安區,08~10,1
大安區,10~12,3
大安區,12~14,3
大安區,14~16,3
大安區,16~18,2
大安區,18~20,1
大安區,20~22,1
大安區,22~24,4
中山區,00~02,4
中山區,02~04,4
中山區,04~06,1
中山區,06~08,2
中山區,08~10,6
中山區,10~12,3
中山區,12~14,1
中山區,14~16,3
中山區,16~18,2
中山區,18~20,3
中山區,20~22,2
中山區,22~24,4
中正區,00~02,0
中正區,02~04,5
中正區,04~06,3
中正區,06~08,2
中正區,08~10,3
中正區,10~12,2
中正區,12~14,0
中正區,14~16,0
中正區,16~18,2
中正區,18~20,0
中正區,20~22,2
中正區,22~24,0
大同區,00~02,3
大同區,02~04,4
大同區,04~06,3
大同區,06~08,7
大同區,08~10,6
大同區,10~12,1
大同區,12~14,3
大同區,14~16,4
大同區,16~18,1
大同區,18~20,0
大同區,20~22,3
大同區,22~24,0
萬華區,00~02,9
萬華區,02~04,12
萬華區,04~06,8
萬華區,06~08,3
萬華區,08~10,6
萬華區,10~12,8
萬華區,12~14,9
萬華區,14~16,6
萬華區,16~18,5
萬華區,18~20,2
萬華區,20~22,5
萬華區,22~24,6
文山區,00~02,4
文山區,02~04,5
文山區,04~06,3
文山區,06~08,0
文山區,08~10,7
文山區,10~12,4
文山區,12~14,1
文山區,14~16,3
文山區,16~18,1
文山區,18~20,4
文山區,20~22,1
文山區,22~24,1
南港區,00~02,2
南港區,02~04,5
南港區,04~06,2
南港區,06~08,8
南港區,08~10,5
南港區,10~12,0
南港區,12~14,5
南港區,14~16,2
南港區,16~18,2
南港區,18~20,0
南港區,20~22,2
南港區,22~24,3
內湖區,00~02,3
內湖區,02~04,3
內湖區,04~06,2
內湖區,06~08,6
內湖區,08~10,6
內湖區,10~12,0
內湖區,12~14,1
內湖區,14~16,6
內湖區,16~18,4
內湖區,18~20,1
內湖區,20~22,3
內湖區,22~24,1
士林區,00~02,5
士林區,02~04,10
士林區,04~06,4
士林區,06~08,6
士林區,08~10,8
士林區,10~12,5
士林區,12~14,6
士林區,14~16,2
士林區,16~18,3
士林區,18~20,4
士林區,20~22,6
士林區,22~24,4
北投區,00~02,8
北投區,02~04,6
北投區,04~06,8
北投區,06~08,12
北投區,08~10,9
北投區,10~12,11
北投區,12~14,9
北投區,14~16,10
北投區,16~18,6
北投區,18~20,9
北投區,20~22,7
北投區,22~24,2
