dis,time,cnt
松山區,00~02,4
松山區,02~04,13
松山區,04~06,5
松山區,06~08,11
松山區,08~10,25
松山區,10~12,35
松山區,12~14,23
松山區,14~16,23
松山區,16~18,20
松山區,18~20,17
松山區,20~22,26
松山區,22~24,14
信義區,00~02,27
信義區,02~04,14
信義區,04~06,11
信義區,06~08,13
信義區,08~10,21
信義區,10~12,18
信義區,12~14,20
信義區,14~16,19
信義區,16~18,8
信義區,18~20,23
信義區,20~22,24
信義區,22~24,16
大安區,00~02,24
大安區,02~04,17
大安區,04~06,14
大安區,06~08,19
大安區,08~10,34
大安區,10~12,34
大安區,12~14,49
大安區,14~16,33
大安區,16~18,25
大安區,18~20,23
大安區,20~22,28
大安區,22~24,12
中山區,00~02,62
中山區,02~04,30
中山區,04~06,22
中山區,06~08,20
中山區,08~10,45
中山區,10~12,38
中山區,12~14,30
中山區,14~16,43
中山區,16~18,21
中山區,18~20,39
中山區,20~22,41
中山區,22~24,33
中正區,00~02,15
中正區,02~04,23
中正區,04~06,7
中正區,06~08,19
中正區,08~10,31
中正區,10~12,20
中正區,12~14,25
中正區,14~16,19
中正區,16~18,19
中正區,18~20,42
中正區,20~22,13
中正區,22~24,20
大同區,00~02,15
大同區,02~04,11
大同區,04~06,15
大同區,06~08,9
大同區,08~10,18
大同區,10~12,12
大同區,12~14,12
大同區,14~16,28
大同區,16~18,13
大同區,18~20,13
大同區,20~22,15
大同區,22~24,9
萬華區,00~02,17
萬華區,02~04,32
萬華區,04~06,22
萬華區,06~08,21
萬華區,08~10,38
萬華區,10~12,41
萬華區,12~14,33
萬華區,14~16,34
萬華區,16~18,26
萬華區,18~20,23
萬華區,20~22,39
萬華區,22~24,20
文山區,00~02,17
文山區,02~04,14
文山區,04~06,8
文山區,06~08,9
文山區,08~10,18
文山區,10~12,18
文山區,12~14,25
文山區,14~16,19
文山區,16~18,16
文山區,18~20,23
文山區,20~22,15
文山區,22~24,17
南港區,00~02,19
南港區,02~04,12
南港區,04~06,6
南港區,06~08,13
南港區,08~10,19
南港區,10~12,19
南港區,12~14,15
南港區,14~16,22
南港區,16~18,11
南港區,18~20,18
南港區,20~22,20
南港區,22~24,9
內湖區,00~02,20
內湖區,02~04,16
內湖區,04~06,15
內湖區,06~08,16
內湖區,08~10,28
內湖區,10~12,33
內湖區,12~14,26
內湖區,14~16,40
內湖區,16~18,24
內湖區,18~20,22
內湖區,20~22,34
內湖區,22~24,18
士林區,00~02,28
士林區,02~04,31
士林區,04~06,14
士林區,06~08,17
士林區,08~10,25
士林區,10~12,35
士林區,12~14,46
士林區,14~16,41
士林區,16~18,30
士林區,18~20,31
士林區,20~22,45
士林區,22~24,23
北投區,00~02,24
北投區,02~04,18
北投區,04~06,17
北投區,06~08,24
北投區,08~10,27
北投區,10~12,35
北投區,12~14,34
北投區,14~16,32
北投區,16~18,33
北投區,18~20,40
北投區,20~22,19
北投區,22~24,15
