dis,time,cnt
松山區,00~02,0
松山區,02~04,4
松山區,04~06,0
松山區,06~08,4
松山區,08~10,3
松山區,10~12,0
松山區,12~14,10
松山區,14~16,2
松山區,16~18,0
松山區,18~20,0
松山區,20~22,2
松山區,22~24,0
信義區,00~02,0
信義區,02~04,4
信義區,04~06,0
信義區,06~08,16
信義區,08~10,10
信義區,10~12,0
信義區,12~14,9
信義區,14~16,5
信義區,16~18,0
信義區,18~20,0
信義區,20~22,5
信義區,22~24,0
大安區,00~02,0
大安區,02~04,8
大安區,04~06,0
大安區,06~08,9
大安區,08~10,9
大安區,10~12,0
大安區,12~14,16
大安區,14~16,6
大安區,16~18,0
大安區,18~20,1
大安區,20~22,11
大安區,22~24,0
中山區,00~02,0
中山區,02~04,11
中山區,04~06,0
中山區,06~08,20
中山區,08~10,17
中山區,10~12,0
中山區,12~14,20
中山區,14~16,8
中山區,16~18,0
中山區,18~20,0
中山區,20~22,8
中山區,22~24,0
中正區,00~02,0
中正區,02~04,4
中正區,04~06,0
中正區,06~08,11
中正區,08~10,9
中正區,10~12,0
中正區,12~14,10
中正區,14~16,7
中正區,16~18,0
中正區,18~20,1
中正區,20~22,10
中正區,22~24,0
大同區,00~02,0
大同區,02~04,8
大同區,04~06,0
大同區,06~08,15
大同區,08~10,6
大同區,10~12,0
大同區,12~14,10
大同區,14~16,7
大同區,16~18,0
大同區,18~20,1
大同區,20~22,15
大同區,22~24,0
萬華區,00~02,0
萬華區,02~04,14
萬華區,04~06,0
萬華區,06~08,21
萬華區,08~10,25
萬華區,10~12,0
萬華區,12~14,33
萬華區,14~16,27
萬華區,16~18,0
萬華區,18~20,0
萬華區,20~22,27
萬華區,22~24,0
文山區,00~02,0
文山區,02~04,5
文山區,04~06,0
文山區,06~08,10
文山區,08~10,4
文山區,10~12,0
文山區,12~14,6
文山區,14~16,4
文山區,16~18,0
文山區,18~20,0
文山區,20~22,0
文山區,22~24,0
南港區,00~02,0
南港區,02~04,4
南港區,04~06,0
南港區,06~08,8
南港區,08~10,8
南港區,10~12,0
南港區,12~14,4
南港區,14~16,4
南港區,16~18,0
南港區,18~20,0
南港區,20~22,7
南港區,22~24,0
內湖區,00~02,0
內湖區,02~04,4
內湖區,04~06,0
內湖區,06~08,3
內湖區,08~10,7
內湖區,10~12,0
內湖區,12~14,7
內湖區,14~16,2
內湖區,16~18,0
內湖區,18~20,0
內湖區,20~22,3
內湖區,22~24,0
士林區,00~02,0
士林區,02~04,4
士林區,04~06,0
士林區,06~08,17
士林區,08~10,13
士林區,10~12,0
士林區,12~14,17
士林區,14~16,10
士林區,16~18,0
士林區,18~20,1
士林區,20~22,10
士林區,22~24,0
北投區,00~02,0
北投區,02~04,9
北投區,04~06,0
北投區,06~08,18
北投區,08~10,15
北投區,10~12,0
北投區,12~14,21
北投區,14~16,4
北投區,16~18,0
北投區,18~20,0
北投區,20~22,13
北投區,22~24,0
