district,house_107,house_108,house_109,house_110,house_111,car_107,car_108,car_109,car_110,car_111,motor_107,motor_108,motor_109,motor_110,motor_111,bike_107,bike_108,bike_109,bike_110,bike_111
松山區,29,16,18,10,8,5,1,3,1,2,45,9,8,5,10,13,21,22,16,25
信義區,29,18,24,7,13,5,6,1,0,0,51,38,13,30,8,33,45,24,28,29
大安區,54,56,25,11,22,13,4,1,0,1,82,17,22,18,12,59,66,51,107,41
中山區,61,57,31,36,10,10,4,3,6,1,122,34,20,16,24,36,20,16,26,19
中正區,37,29,24,21,11,5,2,2,0,0,55,29,23,12,30,33,24,29,28,16
大同區,23,26,12,19,17,4,2,6,3,3,72,32,20,25,20,28,37,28,33,19
萬華區,47,49,27,20,15,13,1,4,7,119,73,64,69,53,26,35,26,46,28,
文山區,28,22,12,7,4,6,7,2,2,4,38,16,13,13,13,11,26,17,19,20
南港區,38,23,17,5,11,5,6,1,3,4,29,18,10,17,11,12,20,14,12,4
內湖區,40,31,29,22,8,4,4,1,1,2,30,14,7,12,10,23,17,8,17,14
士林區,53,40,39,23,22,7,5,4,6,3,55,55,41,35,14,16,17,33,29,18
北投區,56,47,25,11,19,19,4,10,3,5,54,36,43,33,17,22,27,24,22,20
