category,松山區,信義區,大安區,中山區,中正區,大同區,萬華區,文山區,南港區,內湖區,士林區,北投區
house_107,29,29,54,61,37,23,53,28,38,40,53,56
house_108,16,18,56,57,29,26,47,22,23,31,40,47
house_109,18,24,25,31,24,12,49,12,17,29,39,25
house_110,10,7,11,36,21,19,27,7,5,22,23,11
house_111,8,13,22,10,11,17,20,4,11,8,22,19
car_107,5,5,13,10,5,4,15,6,5,4,7,19
car_108,1,6,4,4,2,2,13,7,6,4,5,4
car_109,3,1,1,3,2,6,1,2,1,1,4,10
car_110,1,0,0,6,0,3,4,2,3,1,6,3
car_111,2,0,1,1,0,3,7,4,4,2,3,5
motor_107,45,51,82,122,55,72,119,38,29,30,55,54
motor_108,9,38,17,34,29,32,73,16,18,14,55,36
motor_109,8,13,22,20,23,20,64,13,10,7,41,43
motor_110,5,30,18,16,12,25,69,13,17,12,35,33
motor_111,10,8,12,24,30,20,53,13,11,10,14,17
bike_107,13,33,59,36,33,28,26,11,12,23,16,22
bike_108,21,45,66,20,24,37,35,26,20,17,17,27
bike_109,22,24,51,16,29,28,26,17,14,8,33,24
bike_110,16,28,107,26,28,33,46,19,12,17,29,22
bike_111,25,29,41,19,16,19,28,20,4,14,18,20
